# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
claude-opus-4-8,BENIGN-ID1-Admin PsExec remote diagnostic.csv,,,processed,NO,100.0,83.3,YES,"1, 4624, 5","PsExec64.exe, PSEXESVC.exe, systeminfo.exe, powershell.exe, services.exe","OFFSEC\admmig, NT AUTHORITY\SYSTEM","PsExec64.exe \\SRV05 -accepteula -u OFFSEC\admmig systeminfo, systeminfo, C:\Windows\PSEXESVC.exe",10.23.30.10,,0.0,5.69,5.0,6.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 1, 4624, 5
- Processes: PsExec64.exe, PSEXESVC.exe, systeminfo.exe, powershell.exe, services.exe
- Accounts: OFFSEC\admmig, NT AUTHORITY\SYSTEM
- Commands: PsExec64.exe \\SRV05 -accepteula -u OFFSEC\admmig systeminfo, systeminfo, C:\Windows\PSEXESVC.exe
- Network: 10.23.30.10
- Registry: None

EXPLANATION:
The activity shows an administrator (OFFSEC\admmig) using PsExec from a jump host to run systeminfo on SRV05 via Kerberos network logon, which is consistent with legitimate remote administration. The command executed is a benign, read-only diagnostic (systeminfo) with no payload deployment, credential dumping, or escalation observed, and the process completes cleanly. The behavior matches expected admin tooling rather than an attack chain."
claude-opus-4-8,ID33205-SQL Server member added to database role.evtx,easy,A,processed,NO,100.0,68.8,YES,33205,,"OFFSEC\admmig, test-sql, dbo",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,,,0.0,3.96,4.1,6.0,4.0,3,17.1,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, test-sql, dbo
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: None
- Registry: None

EXPLANATION:
This is a SQL Server audit event (action_id APRL, succeeded:true) showing an administrator account OFFSEC\admmig adding the principal test-sql to the db_accessadmin database role on the RCS-TEST-db database. While adding members to an access-administration role is a privilege change worth noting, this is a routine database administration action performed by an admin account with no chained escalation, suspicious commands, or external indicators present."
claude-opus-4-8,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,MSSQL$RADAR,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,mssql01.offsec.lan,,0.0,4.71,5.3,5.0,4.0,3,17.3,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: MSSQL$RADAR
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
This is a SQL Server audit event (action_id:CR, class_type:SU) showing a successful CREATE USER statement executed by the administrative account OFFSEC\admmig. Creating a database user mapped to an existing login is a routine database administration task with no indicators of privilege escalation or malicious intent in isolation. The action was performed by an admin principal and succeeded normally, consistent with benign provisioning activity."
claude-opus-4-8,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,,,0.0,3.38,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
Event ID 4723 indicates an attempt by a user (admmig) to change the password of an account (hacker2), which is a routine self-service or administrative password change operation. There is no privilege escalation, no suspicious process chain, and no anomalous indicators in this single event to suggest malicious behavior. The activity appears consistent with normal account maintenance."
claude-opus-4-8,ID12-LSA Protect mode enabled RunAsPPL.evtx,easy,D,processed,NO,100.0,100.0,YES,"14, 12",,,,,,0.0,2.99,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 14, 12
- Processes: None
- Accounts: None
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
These are routine Microsoft-Windows-Wininit system events (Event IDs 14 and 12) related to standard Windows initialization and boot configuration processes. There are no suspicious processes, accounts, commands, or network indicators present. This activity is consistent with normal system startup behavior and shows no signs of attack."
claude-opus-4-8,ID4825-Denied RDP connection with valid credentials.evtx,easy,A,processed,NO,100.0,100.0,YES,4825,,svc6test1,,10.23.23.9,,0.0,3.86,6.0,6.0,4.0,3,19.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4825
- Processes: None
- Accounts: svc6test1
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Event ID 4825 indicates a user was denied access to Remote Desktop, and both events show the same account (svc6test1) being denied from the same client address (10.23.23.9) within about a minute. While repeated denials could suggest misconfiguration or a probing attempt, two denied RDP access events from a single internal host represent a low-volume access failure consistent with routine policy enforcement rather than a clear attack pattern."
claude-opus-4-8,ID4-OpenSSH server listening.evtx,easy,A,processed,NO,100.0,100.0,YES,4,sshd,,,":: port 22, 0.0.0.0 port 22",,0.0,3.44,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4
- Processes: sshd
- Accounts: None
- Commands: None
- Network: :: port 22, 0.0.0.0 port 22
- Registry: None

EXPLANATION:
These events are routine OpenSSH server startup messages indicating the sshd service is listening on port 22 over both IPv6 (::) and IPv4 (0.0.0.0). There are no authentication attempts, failed logins, suspicious commands, or privilege escalation activity present. This pattern reflects normal service initialization across several days, consistent with benign behavior."
claude-opus-4-8,BENIGN-ID5145-Veeam backup reads files over backup share.csv,,,processed,NO,100.0,83.3,YES,"4624, 4672, 5140, 5145, 4673",C:\Windows\System32\svchost.exe,svc_veeam,,10.23.50.20,,0.0,5.32,5.0,6.0,4.0,4,19.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4624, 4672, 5140, 5145, 4673
- Processes: C:\Windows\System32\svchost.exe
- Accounts: svc_veeam
- Commands: None
- Network: 10.23.50.20
- Registry: None

EXPLANATION:
The service account svc_veeam authenticates via Kerberos from the backup host BKP01 (10.23.50.20), exercises backup-related privileges (SeBackupPrivilege, SeRestorePrivilege), and accesses .vbk/.vib backup files on the Backups$ share — all consistent with a legitimate Veeam backup job. The file names, share, privileges, source host, and off-hours backup window align with expected backup operations rather than data theft or attacker behavior. The activity is read access to backup files by the dedicated backup account from its known source, indicating routine, benign backup activity."
claude-opus-4-8,"ID 768,775,793,796,817,840-BitLocker encryption activated.evtx",easy,D,processed,NO,100.0,100.0,YES,"4122, 796, 817, 840, 775, 780, 768, 793",,,,,"None
- Volumes: \\?\Volume{95b548ac-9d1a-4f36-96fc-2c67e06caefb}, C:",16.7,9.48,6.0,5.0,3.3,2,16.3,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4122, 796, 817, 840, 775, 780, 768, 793
- Processes: None
- Accounts: None
- Commands: None
- Network: None
- Registry: None
- Volumes: \\?\Volume{95b548ac-9d1a-4f36-96fc-2c67e06caefb}, C:

EXPLANATION:
These are routine BitLocker drive encryption management events showing normal lifecycle activity: TPM/PCR platform validation logging, protector creation (TPM and recovery password), encryption start (768/780), and successful PCR re-validation after configuration changes. The paired protector additions and consistent TCG/Secure Boot certificate chains (ASUSTeK, Microsoft, Canonical) indicate legitimate disk encryption setup, with no signs of tampering, privilege escalation, or unauthorized access."
claude-opus-4-8,BENIGN-ID33205-SQL Server successful admin login.csv,,,processed,NO,100.0,100.0,YES,33205,,"OFFSEC\svc-sqlreport, dbo",Login succeeded for user 'OFFSEC\svc-sqlreport'. Connection made using Windows authentication. [CLIENT: 10.23.23.41,10.23.23.41,,0.0,4.47,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\svc-sqlreport, dbo
- Commands: Login succeeded for user 'OFFSEC\svc-sqlreport'. Connection made using Windows authentication. [CLIENT: 10.23.23.41]
- Network: 10.23.23.41
- Registry: None

EXPLANATION:
All three events are successful SQL Server login audit records (Event ID 33205, action LGIS) for the service account OFFSEC\svc-sqlreport using Windows authentication from a single internal client 10.23.23.41. The repeated successful logins by a reporting service account from the same host within seconds are consistent with normal automated reporting connections, with no failed attempts, privilege escalation, or suspicious statements observed."
