# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
claude-opus-4-8,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,75.0,YES,33205,,sa,,10.23.23.9,,0.0,3.62,4.5,6.0,4.0,3,17.5,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Multiple failed login attempts (action_id LGIF, succeeded:false) for the privileged 'sa' SQL Server account originate from the same client IP 10.23.23.9 within seconds of each other, indicating a brute-force or password-guessing attack. The repeated authentication failures against the high-value 'sa' principal from a single source is consistent with credential attack behavior rather than routine activity."
claude-opus-4-8,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,FS03$,,10.23.23.9,,0.0,3.66,6.0,2.0,4.0,4,16.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Multiple failed logon attempts (Event ID 4625) via LogonType 10 (RemoteInteractive/RDP) from the same source IP 10.23.23.9 within a short time window indicate a potential RDP brute-force or credential-guessing attempt. The Status code 0xC000006E and failure reason %%2313 reflect repeated invalid authentication attempts against FS03, consistent with attacker reconnaissance or access attempts."
claude-opus-4-8,ID1-WMI spwaning PowerShell process - WMImplant.evtx,easy,B,processed,YES,100.0,100.0,YES,1,"powershell.exe, WmiPrvSE.exe",OFFSEC\admmig,"powershell $env:I4Pzl|.(Get-C`ommand ('{1}e{0}'-f'x','i')), C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",,,0.0,7.64,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1
- Processes: powershell.exe, WmiPrvSE.exe, wmiprvse.exe
- Accounts: OFFSEC\admmig
- Commands: powershell $env:I4Pzl|.(Get-C`ommand ('{1}e{0}'-f'x','i')), C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding
- Network: None
- Registry: None

EXPLANATION:
The PowerShell command uses heavy obfuscation (backtick string-splitting and format operators to reconstruct ""iex""/Invoke-Expression) to execute the contents of an environment variable, a classic evasion technique. It is spawned by WmiPrvSE.exe, indicating WMI-based remote/lateral execution, and runs at High integrity, consistent with malicious code execution rather than routine administration."
claude-opus-4-8,ID1-WMIexec process execution.evtx,easy,A,processed,YES,100.0,90.0,YES,1,C:\Windows\System32\cmd.exe,NT AUTHORITY\SYSTEM,"C:\Windows\system32\cmd.exe  /Q /c C:\Windows\TEMP\execute.bat, C:\Windows\system32\cmd.exe /Q /c echo cd  ^> \\127.0.0.1\C$\__output 2^>^&1 > C:\Windows\TEMP\execute.bat & C:\Windows\system32\cmd.exe /Q /c C:\Windows\TEMP\execute.bat & del C:\Windows\TEMP\execute.bat",\\127.0.0.1\C$\__output,,0.0,6.04,5.4,5.0,4.0,3,17.4,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1
- Processes: C:\Windows\System32\cmd.exe
- Accounts: NT AUTHORITY\SYSTEM
- Commands: C:\Windows\system32\cmd.exe  /Q /c C:\Windows\TEMP\execute.bat, C:\Windows\system32\cmd.exe /Q /c echo cd  ^> \\127.0.0.1\C$\__output 2^>^&1 > C:\Windows\TEMP\execute.bat & C:\Windows\system32\cmd.exe /Q /c C:\Windows\TEMP\execute.bat & del C:\Windows\TEMP\execute.bat
- Network: \\127.0.0.1\C$\__output
- Registry: None

EXPLANATION:
This activity matches the PsExec/Impacket-style remote command execution pattern where output is redirected to an admin share (\\127.0.0.1\C$\__output) and commands are written to and run from a temporary batch file that is then deleted to remove traces. Execution runs as NT AUTHORITY\SYSTEM at System integrity, and the rule name tagging Accessibility Features (T1015) plus the self-cleaning batch chain strongly indicate post-exploitation lateral movement or command execution rather than routine administration."
claude-opus-4-8,ID3-7-10-Suspicious DLL loaded (CME+Mimikatz).evtx,easy,A,processed,YES,100.0,100.0,YES,"7, 3, 10","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\system32\lsass.exe",OFFSEC\admmig,,"10.23.42.38, 10.23.123.11",,0.0,4.37,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 7, 3, 10
- Processes: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\system32\lsass.exe
- Accounts: OFFSEC\admmig
- Commands: None
- Network: 10.23.42.38, 10.23.123.11
- Registry: None

EXPLANATION:
PowerShell (PID 2668) loaded System.Management.Automation and WMI modules, then accessed lsass.exe with GrantedAccess 0x143A — a credential dumping signature indicative of LSASS memory access. The same process made repeated outbound TCP/443 connections to 10.23.123.11, suggesting C2 or exfiltration alongside the credential theft. The combination of in-memory PowerShell, LSASS access, and beaconing network activity by user admmig strongly indicates malicious post-exploitation behavior."
claude-opus-4-8,ID4688-5145-WMIexec execution via SMB.evtx,easy,A,processed,YES,100.0,75.0,YES,"1102, 4964, 4672, 4624, 4688, 4674, 5140, 5145","cmd.exe, conhost.exe, C:\Windows\System32\cmd.exe, C:\Windows\System32\conhost.exe","admmig, FS03VULN$, LOCAL SERVICE","cmd.exe /Q /c cd \ 1> \\127.0.0.1\ADMIN$\__1619090610.0007844 2>&1, cmd.exe /Q /c cd  1> \\127.0.0.1\ADMIN$\__1619090610.0007844 2>&1, \??\C:\Windows\system32\conhost.exe 0xffffffff","10.23.23.9, 10.23.123.11, 127.0.0.1",,0.0,15.06,4.5,6.0,4.0,4,18.5,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1102, 4964, 4672, 4624, 4688, 4674, 5140, 5145
- Processes: cmd.exe, conhost.exe, C:\Windows\System32\cmd.exe, C:\Windows\System32\conhost.exe
- Accounts: admmig, FS03VULN$, LOCAL SERVICE
- Commands: cmd.exe /Q /c cd \ 1> \\127.0.0.1\ADMIN$\__1619090610.0007844 2>&1, cmd.exe /Q /c cd  1> \\127.0.0.1\ADMIN$\__1619090610.0007844 2>&1, \??\C:\Windows\system32\conhost.exe 0xffffffff
- Network: 10.23.23.9, 10.23.123.11, 127.0.0.1
- Registry: None

EXPLANATION:
The Security log was cleared (Event 1102) by admmig immediately before a burst of activity, a classic anti-forensic action paired with the subsequent intrusion. The ""cmd.exe /Q /c ... 1> \\127.0.0.1\ADMIN$\__<timestamp> 2>&1"" pattern writing output to the ADMIN$ share is the signature of remote command execution tools (e.g., Impacket smbexec/wmiexec), and the SMB ADMIN$/C$/IPC$ access from 10.23.23.9 plus enumeration of the desktop file ""SMB exec.evtx"" confirms remote SMB-based code execution and data access. The combination of log clearing, privileged Kerberos network logons, and ADMIN$ command redirection constitutes a lateral-movement/remote-exec attack."
claude-opus-4-8,ID4688-4698 Persistent scheduled task with SYSTEM privileges creation.evtx,easy,A,processed,YES,100.0,93.8,YES,"4688, 4698","schtasks.exe, powershell.exe, cscript.exe, conhost.exe, MonitoringHost.exe","admmig, SRVDEFENDER01$","""C:\Windows\system32\schtasks.exe"" /create /sc minute /mo 1 /tn eviltask /tr C:\tools\shell.cmd /ru SYSTEM, ""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs"", \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1",,,0.0,5.22,5.6,6.0,4.0,4,19.6,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688, 4698
- Processes: schtasks.exe, powershell.exe, cscript.exe, conhost.exe, MonitoringHost.exe
- Accounts: admmig, SRVDEFENDER01$
- Commands: ""C:\Windows\system32\schtasks.exe"" /create /sc minute /mo 1 /tn eviltask /tr C:\tools\shell.cmd /ru SYSTEM, ""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs"", \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1
- Network: None
- Registry: None

EXPLANATION:
A PowerShell process spawned schtasks.exe to create a scheduled task named ""eviltask"" that runs C:\tools\shell.cmd every minute as SYSTEM, immediately followed by Event 4698 confirming the task registration. This is a classic persistence and privilege-escalation technique (T1053.005) using a suspicious task name, a non-standard executable path, and a minute-interval trigger running with SYSTEM privileges, indicating malicious activity."
claude-opus-4-8,ID4688-Interactive shell using AT schedule task.evtx,easy,A,processed,YES,100.0,100.0,YES,4688,"C:\Windows\System32\at.exe, C:\Windows\System32\cmd.exe",admmig,at  13:20 /interactive cmd,,,0.0,33.88,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688
- Processes: C:\Windows\System32\at.exe, C:\Windows\System32\cmd.exe
- Accounts: admmig
- Commands: at  13:20 /interactive cmd
- Network: None
- Registry: None

EXPLANATION:
The use of at.exe to schedule an interactive cmd shell (/interactive cmd) is a classic attacker technique for persistence and privilege escalation, often used to obtain a SYSTEM-level command prompt. The process was spawned from cmd.exe with high integrity (MandatoryLabel S-1-16-12288), which is consistent with abuse of the deprecated Task Scheduler ""at"" command rather than routine administration."
claude-opus-4-8,ID4688-Scheduled task creation.evtx,easy,A,processed,YES,100.0,100.0,YES,4688,"C:\Windows\System32\schtasks.exe, C:\Windows\System32\cmd.exe",lambda-user,schtasks  /create /s fs02 /tn tasks_test_hacker2 /tr myapp.exe /sc daily /mo 10,fs02,,0.0,3.37,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688
- Processes: C:\Windows\System32\schtasks.exe, C:\Windows\System32\cmd.exe
- Accounts: lambda-user
- Commands: schtasks  /create /s fs02 /tn tasks_test_hacker2 /tr myapp.exe /sc daily /mo 10
- Network: fs02
- Registry: None

EXPLANATION:
A scheduled task is being created remotely on host fs02 via schtasks.exe spawned from cmd.exe, indicating lateral movement and persistence establishment. The task name ""tasks_test_hacker2"" and the suspicious non-system executable ""myapp.exe"" set to run daily strongly suggest malicious activity rather than routine administration."
claude-opus-4-8,ID4698-4699-Fast created & deleted task by ATexec (susp. arg.).evtx,easy,A,processed,YES,100.0,100.0,YES,"4698, 4699",cmd.exe,"admmig, S-1-5-18, LocalSystem",/C whoami &gt | %windir%\Temp\bouWFQYO.tmp 2&gt | &amp | 1,,,33.3,5.13,6.0,6.0,2.7,4,18.7,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4698, 4699
- Processes: cmd.exe
- Accounts: admmig, S-1-5-18, LocalSystem
- Commands: /C whoami &gt; %windir%\Temp\bouWFQYO.tmp 2&gt;&amp;1
- Network: None
- Registry: None

EXPLANATION:
A scheduled task with a random name (\bouWFQYO) was created (4698) and almost immediately deleted (4699) within the same fraction of a second by the same actor, which is characteristic of remote command execution tooling rather than legitimate persistence. The task was configured as Hidden, ran as LocalSystem (S-1-5-18) with HighestAvailable privileges, and executed a whoami command redirecting output to a temp file — a classic SYSTEM-level lateral movement/execution pattern. The rapid create-and-delete cycle and SYSTEM escalation strongly indicate malicious activity."
