# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
gpt-5.5-2026-04-23,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,NO,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,FS03$,,"FS03.offsec.lan, 10.23.23.9",,0.0,12.03,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$
- Commands: None
- Network: FS03.offsec.lan, 10.23.23.9
- Registry: None

EXPLANATION:
The events show two failed LogonType 10 attempts using winlogon.exe from 10.23.23.9, both with Event ID 4625. There is no successful logon, command execution, registry activity, or additional escalation evidence in the provided logs, so this is not enough to conclude malicious activity."
gpt-5.5-2026-04-23,BENIGN-ID1-Admin PsExec remote diagnostic.csv,,,processed,YES,100.0,100.0,YES,"1, 4624, 5","C:\Tools\PsExec64.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\PSEXESVC.exe, C:\Windows\System32\services.exe, C:\Windows\System32\systeminfo.exe","OFFSEC\admmig, admmig, NT AUTHORITY\SYSTEM","PsExec64.exe \\SRV05 -accepteula -u OFFSEC\admmig systeminfo, powershell.exe, C:\Windows\PSEXESVC.exe, C:\Windows\system32\services.exe, systeminfo","win-jump01.offsec.lan, srv05.offsec.lan, \\SRV05, 10.23.30.10, WIN-JUMP01",,0.0,16.55,6.0,1.0,4.0,3,14.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1, 4624, 5
- Processes: C:\Tools\PsExec64.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\PSEXESVC.exe, C:\Windows\System32\services.exe, C:\Windows\System32\systeminfo.exe
- Accounts: OFFSEC\admmig, admmig, NT AUTHORITY\SYSTEM
- Commands: PsExec64.exe \\SRV05 -accepteula -u OFFSEC\admmig systeminfo, powershell.exe, C:\Windows\PSEXESVC.exe, C:\Windows\system32\services.exe, systeminfo
- Network: win-jump01.offsec.lan, srv05.offsec.lan, \\SRV05, 10.23.30.10, WIN-JUMP01
- Registry: None

EXPLANATION:
The events show C:\Tools\PsExec64.exe launched from powershell.exe by OFFSEC\admmig to run systeminfo on \\SRV05, followed by a Kerberos LogonType 3 from 10.23.30.10 and execution of C:\Windows\PSEXESVC.exe on srv05.offsec.lan. The sequence of remote logon, PsExec service execution, and systeminfo collection indicates remote execution and reconnaissance activity rather than an isolated routine process."
gpt-5.5-2026-04-23,ID33205-SQL Server member added to database role.evtx,easy,A,processed,YES,100.0,93.8,YES,33205,,"OFFSEC\admmig, dbo, test-sql",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,mssql01.offsec.lan,,0.0,14.78,5.6,1.0,4.0,2,12.6,C,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The event shows OFFSEC\admmig successfully executing ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql] on the database. Adding test-sql to db_accessadmin is a database role membership change that grants elevated database access administration capability."
gpt-5.5-2026-04-23,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,mssql01.offsec.lan,,0.0,10.00,5.3,5.0,4.0,2,16.3,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
The event shows OFFSEC\admmig successfully creating a database user test-sql for an existing login in RCS-TEST-db. There is no additional evidence of abuse, privilege escalation, suspicious process execution, or network activity in the provided log."
gpt-5.5-2026-04-23,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,rootdc1.offsec.lan,,0.0,8.14,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
Event ID 4723 shows an attempt to change the password for hacker2 by admmig. With only this single password-change event and no supporting process, command, network, or registry evidence, the activity cannot be determined to be malicious from the provided log alone."
gpt-5.5-2026-04-23,ID60-High volume file downloaded with BITS.evtx,easy,A,processed,NO,100.0,83.3,YES,"3, 5, 59, 60",,OFFSEC\admmig,,"FS03.offsec.lan, releases.ubuntu.com",,0.0,11.04,5.0,5.0,4.0,2,16.0,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 3, 5, 59, 60
- Processes: None
- Accounts: OFFSEC\admmig
- Commands: None
- Network: FS03.offsec.lan, releases.ubuntu.com
- Registry: None

EXPLANATION:
The events show a BITS Transfer job owned by OFFSEC\admmig downloading ubuntu-20.04.3-desktop-amd64.iso from releases.ubuntu.com. No suspicious commands, processes, registry changes, or malicious multi-event pattern are present in the provided logs."
gpt-5.5-2026-04-23,ID4688-sqlcmd tool abuse in SQL Server.evtx,easy,A,processed,NO,100.0,100.0,YES,4688,"C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\SQLCMD.EXE, C:\Windows\System32\cmd.exe",admmig,"sqlcmd  -S .\RADAR,2020",mssql01.offsec.lan,,0.0,9.69,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4688
- Processes: C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\SQLCMD.EXE, C:\Windows\System32\cmd.exe
- Accounts: admmig
- Commands: sqlcmd  -S .\RADAR,2020
- Network: mssql01.offsec.lan
- Registry: None

EXPLANATION:
This event shows admmig launching SQLCMD.EXE from cmd.exe to connect to a local SQL Server instance. There is no additional event pattern, suspicious command chaining, privilege escalation, registry modification, or network indicator in the provided data to support malicious activity."
gpt-5.5-2026-04-23,ID12-LSA Protect mode enabled RunAsPPL.evtx,easy,D,processed,NO,100.0,100.0,YES,"14, 12",,,,WIN10-client01.offsec.lan,,0.0,7.31,6.0,5.0,4.0,1,16.0,B,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 14, 12
- Processes: None
- Accounts: None
- Commands: None
- Network: WIN10-client01.offsec.lan
- Registry: None

EXPLANATION:
The events are from Microsoft-Windows-Wininit with Event IDs 14 and 12 and contain only configuration-related fields such as Config, IsTestConfig, and Level. There are no accounts, commands, processes, registry keys, or suspicious network indicators in the event data to indicate attack behavior."
gpt-5.5-2026-04-23,ID4664-symbolic link created.evtx,easy,A,processed,NO,100.0,100.0,YES,4664,,Admin,,WIN,,16.7,11.93,6.0,5.0,3.3,3,17.3,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4664
- Processes: None
- Accounts: Admin
- Commands: None
- Network: WIN
- Registry: None

EXPLANATION:
Event 4664 shows Admin created or attempted a file link involving C:\Users\Admin\Downloads\Sysmon\sysmonconf.xml and C:\Users\Admin\Downloads\sysmonconf.xml. In isolation, this does not show a malicious pattern such as privilege escalation, suspicious command execution, registry modification, or network activity."
gpt-5.5-2026-04-23,ID4673-Privilege SeMachineAccountPrivilege called.evtx,easy,A,processed,NO,100.0,100.0,YES,4673,C:\Windows\System32\lsass.exe,hack1,,rootdc1.offsec.lan,,0.0,12.03,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4673
- Processes: C:\Windows\System32\lsass.exe
- Accounts: hack1
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
Event 4673 shows the account hack1 using SeMachineAccountPrivilege through the Security Account Manager with C:\Windows\System32\lsass.exe. This is a sensitive privilege use, but the log contains only a single event with no command line, creation event, network activity, or related sequence showing attack behavior."
