# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4103-4104-OpenSSH server activation and config.evtx,hard,A,error,NO,0.0,0.0,NO,,,,,,,,0.43,,,,,,,Error: HTTP 400
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4103-4104-OpenSSH server install.evtx,hard,A,processed,NO,100.0,93.8,YES,"4103, 4104, 40961, 53504, 40962",powershell.exe,"OFFSEC\admmig, OFFSEC\SYSTEM","Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Out-Default, Set-StrictMode, Write-Host 'Final result: 1' | , $global:?, prompt",,,0.0,43.51,5.6,6.0,4.0,4,19.6,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4103, 4104, 40961, 53504, 40962
- Processes: powershell.exe
- Accounts: OFFSEC\admmig, OFFSEC\SYSTEM
- Commands: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0, Set-Alias, Export-ModuleMember, Out-Default, Set-StrictMode, Write-Host 'Final result: 1';, $global:?, prompt
- Network: None
- Registry: None

EXPLANATION:
The logs depict standard administrative activity where the user OFFSEC\admmig installs the OpenSSH Server Windows capability using the Add-WindowsCapability cmdlet. The extensive Set-Alias commands are routine module initialization behavior for the DISM PowerShell module, not malicious aliasing or obfuscation. The final execution as OFFSEC\SYSTEM running a simple status check indicates a normal deployment or scheduled task completion with no indicators of compromise."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,100.0,YES,33205,,sa,,10.23.23.9,,0.0,34.97,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
The logs show two consecutive failed login attempts for the privileged 'sa' account from the same client IP address within a short timeframe. This rapid succession of authentication failures targeting a default administrative account is a classic indicator of a brute-force or credential guessing attack against the SQL Server instance."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,YES,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,FS03$,,10.23.23.9,,0.0,35.85,6.0,2.0,4.0,4,16.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$
- Commands: None
- Network: 10.23.23.9
- Registry: None

EXPLANATION:
Two sequential Event ID 4625 failures originating from the same IP address (10.23.23.9) within two minutes indicate a credential brute-force or guessing attack against RDP (LogonType 10). The repeated ""unknown user name or bad password"" status (0xC000006E) with an unspecified target account strongly suggests automated or manual credential testing rather than routine activity."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID33205-SQL Server member added to database role.evtx,easy,A,processed,YES,100.0,93.8,YES,33205,MSSQL$RADAR,"OFFSEC\admmig, test-sql, dbo",ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql,mssql01.offsec.lan,,0.0,34.91,5.6,2.0,4.0,3,14.6,B,"MALICIOUS: YES
EVIDENCE:
- Event IDs: 33205
- Processes: MSSQL$RADAR
- Accounts: OFFSEC\admmig, test-sql, dbo
- Commands: ALTER ROLE [db_accessadmin] ADD MEMBER [test-sql]
- Network: mssql01.offsec.lan
- Registry: None
EXPLANATION:
The event logs a SQL Server permission modification where the account OFFSEC\admmig added test-sql to the db_accessadmin role within the RCS-TEST-db database. Granting db_accessadmin privileges allows the new account to manage database access for other logins, representing a privilege escalation technique commonly used to establish persistence or expand lateral movement capabilities. This role membership change indicates potential malicious activity or unauthorized privilege escalation."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID33205-SQL Server user linked to a database.evtx,easy,A,processed,NO,100.0,88.9,YES,33205,,"OFFSEC\admmig, dbo, test-sql",CREATE USER [test-sql] FOR LOGIN [test-sql,,,0.0,34.66,5.3,5.0,4.0,3,17.3,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: OFFSEC\admmig, dbo, test-sql
- Commands: CREATE USER [test-sql] FOR LOGIN [test-sql]
- Network: None
- Registry: None

EXPLANATION:
This event logs a routine database administration action where the account OFFSEC\admmig successfully executed a CREATE USER statement to provision a new login for the RCS-TEST-db database. There are no indicators of malicious activity, such as privilege escalation, lateral movement, or unauthorized access, within this single audit entry."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4723-5145-password reset with changeNTLM (Mimikatz).evtx,easy,A,processed,NO,100.0,100.0,YES,4723,,"hacker2, admmig",,,,0.0,32.94,6.0,5.0,4.0,3,18.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4723
- Processes: None
- Accounts: hacker2, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The log shows a single Event ID 4723 indicating that the account admmig attempted to change the password for the account hacker2. In isolation, this represents a standard administrative password reset action without any accompanying privilege escalation, lateral movement, or suspicious command execution patterns. Therefore, it is classified as routine activity."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4728-Member adding to a group by the same account.evtx,easy,A,processed,NO,100.0,100.0,YES,4728,,"lambda-user, Group02",,rootdc1.offsec.lan,,0.0,33.89,6.0,6.0,4.0,3,19.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4728
- Processes: None
- Accounts: lambda-user, Group02
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
This event logs a standard group membership modification (Event ID 4728) where a user was added to a security-enabled global group. In isolation, this represents routine directory administration with no indicators of malicious intent, lateral movement, or privilege escalation."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4738-Account is sensitive and cannot be delegated.evtx,easy,A,processed,YES,100.0,100.0,YES,4738,,"hack1, admmig",,,,0.0,34.95,6.0,2.0,4.0,3,15.0,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4738
- Processes: None
- Accounts: hack1, admmig
- Commands: None
- Network: None
- Registry: None

EXPLANATION:
The logs show two rapid, paired UAC value modifications on the same target account (`hack1`) performed by the same subject (`admmig`) within four seconds, toggling between `0x210` and `0x4210`. This back-and-forth state change indicates active testing or manipulation of account security properties, which is a common precursor to privilege escalation or delegation abuse. The sequential alteration of the same identifier by a single actor strongly signals malicious reconnaissance or preparation rather than routine administration."
<lmstudio-models>/unsloth\Qwen3.6-35B-A3B-GGUF\Qwen3.6-35B-A3B-UD-Q4_K_M.gguf,ID4738-Password cannot be changed.evtx,easy,A,processed,NO,100.0,100.0,YES,4738,,"hack1, admmig, OFFSEC",,rootdc1.offsec.lan,,0.0,34.97,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4738
- Processes: None
- Accounts: hack1, admmig, OFFSEC
- Commands: None
- Network: rootdc1.offsec.lan
- Registry: None

EXPLANATION:
Two consecutive Event ID 4738 logs show account `admmig` modifying account `hack1` within one second on domain controller `rootdc1.offsec.lan`. All attribute fields are empty (`-`), indicating no actual changes were applied to the target account. This rapid, empty modification pattern lacks indicators of privilege escalation or credential abuse, pointing to routine administrative activity rather than malicious behavior."
